algo,model_id,model_path,cv_mean_neg_mse,cv_std_neg_mse,train_rmse,test_rmse,train_mae,test_mae,train_bias,test_bias,train_rpd,test_rpd,train_r2,test_r2,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_tol,rank_by_test_rmse
mlp,4,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_004.joblib,-78.04604348063138,39.02853683968066,8.818916809861946,14.40660531040264,6.833964959810978,11.611607706514636,-2.8095256112268143,-4.8932012917363705,1.9881761553500021,1.204041132441128,0.7470176175538938,0.31020927115385166,relu,0.0001,"(50,)",0.01,5000,0.0001,30
mlp,28,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_028.joblib,-78.07339246637524,38.9859794157114,8.818927318528848,14.40661776078697,6.833984281531943,11.611617697943087,-2.809494593463256,-4.893165740893616,1.9881737862318312,1.204040091893298,0.7470170146433028,0.3102080789002697,relu,0.001,"(50,)",0.01,5000,0.0001,31
mlp,31,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_031.joblib,-85.89861520110752,28.44912939078199,8.818927318528848,14.40661776078697,6.833984281531943,11.611617697943087,-2.809494593463256,-4.893165740893616,1.9881737862318312,1.204040091893298,0.7470170146433028,0.3102080789002697,relu,0.001,"(50,)",0.01,10000,0.001,32
mlp,30,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_030.joblib,-78.07339246637524,38.9859794157114,8.818927318528848,14.40661776078697,6.833984281531943,11.611617697943087,-2.809494593463256,-4.893165740893616,1.9881737862318312,1.204040091893298,0.7470170146433028,0.3102080789002697,relu,0.001,"(50,)",0.01,10000,0.0001,33
mlp,29,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_029.joblib,-85.89861520110752,28.44912939078199,8.818927318528848,14.40661776078697,6.833984281531943,11.611617697943087,-2.809494593463256,-4.893165740893616,1.9881737862318312,1.204040091893298,0.7470170146433028,0.3102080789002697,relu,0.001,"(50,)",0.01,5000,0.001,34
mlp,35,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_035.joblib,-126.37247670097796,73.27233788521809,10.176290483456137,14.631789522300812,7.865755823694246,11.402633316545904,-2.1780821997399675,-2.9172345402497846,1.7229814877914107,1.1855108594975146,0.6631482736583275,0.2884770267499721,relu,0.001,"(100,)",0.001,10000,0.001,35
mlp,33,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_033.joblib,-126.37247670097796,73.27233788521809,10.176290483456137,14.631789522300812,7.865755823694246,11.402633316545904,-2.1780821997399675,-2.9172345402497846,1.7229814877914107,1.1855108594975146,0.6631482736583275,0.2884770267499721,relu,0.001,"(100,)",0.001,5000,0.001,36
mlp,32,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_032.joblib,-126.37247670097796,73.27233788521809,10.176290483456137,14.631789522300812,7.865755823694246,11.402633316545904,-2.1780821997399675,-2.9172345402497846,1.7229814877914107,1.1855108594975146,0.6631482736583275,0.2884770267499721,relu,0.001,"(100,)",0.001,5000,0.0001,37
mlp,34,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_034.joblib,-126.37247670097796,73.27233788521809,10.176290483456137,14.631789522300812,7.865755823694246,11.402633316545904,-2.1780821997399675,-2.9172345402497846,1.7229814877914107,1.1855108594975146,0.6631482736583275,0.2884770267499721,relu,0.001,"(100,)",0.001,10000,0.0001,38
mlp,10,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_010.joblib,-126.37251153374936,73.27227375965572,10.176289293244277,14.631789932385992,7.865754793381266,11.402633927057654,-2.1780806748297588,-2.9172326597854297,1.7229816893101513,1.1855108262712013,0.6631483524542103,0.28847698686626144,relu,0.0001,"(100,)",0.001,10000,0.0001,39
mlp,9,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_009.joblib,-126.37251153374936,73.27227375965572,10.176289293244277,14.631789932385992,7.865754793381266,11.402633927057654,-2.1780806748297588,-2.9172326597854297,1.7229816893101513,1.1855108262712013,0.6631483524542103,0.28847698686626144,relu,0.0001,"(100,)",0.001,5000,0.001,40
mlp,8,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_008.joblib,-126.37251153374936,73.27227375965572,10.176289293244277,14.631789932385992,7.865754793381266,11.402633927057654,-2.1780806748297588,-2.9172326597854297,1.7229816893101513,1.1855108262712013,0.6631483524542103,0.28847698686626144,relu,0.0001,"(100,)",0.001,5000,0.0001,41
mlp,11,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_011.joblib,-126.37251153374936,73.27227375965572,10.176289293244277,14.631789932385992,7.865754793381266,11.402633927057654,-2.1780806748297588,-2.9172326597854297,1.7229816893101513,1.1855108262712013,0.6631483524542103,0.28847698686626144,relu,0.0001,"(100,)",0.001,10000,0.001,42
mlp,25,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_025.joblib,-54.46698277410476,30.16227442810892,10.957790496014505,15.128860582176342,8.853639675241519,12.420680870492742,-1.9191280678759617,-2.6652617140833756,1.6000999584505673,1.1465599328085192,0.6094238032637385,0.23931215291053243,relu,0.001,"(50,)",0.001,5000,0.001,43
mlp,24,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_024.joblib,-45.486188376969395,30.051158428783648,10.957790496014505,15.128860582176342,8.853639675241519,12.420680870492742,-1.9191280678759617,-2.6652617140833756,1.6000999584505673,1.1465599328085192,0.6094238032637385,0.23931215291053243,relu,0.001,"(50,)",0.001,5000,0.0001,44
mlp,26,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_026.joblib,-45.486188376969395,30.051158428783648,10.957790496014505,15.128860582176342,8.853639675241519,12.420680870492742,-1.9191280678759617,-2.6652617140833756,1.6000999584505673,1.1465599328085192,0.6094238032637385,0.23931215291053243,relu,0.001,"(50,)",0.001,10000,0.0001,45
mlp,27,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_027.joblib,-54.46698277410476,30.16227442810892,10.957790496014505,15.128860582176342,8.853639675241519,12.420680870492742,-1.9191280678759617,-2.6652617140833756,1.6000999584505673,1.1465599328085192,0.6094238032637385,0.23931215291053243,relu,0.001,"(50,)",0.001,10000,0.001,46
mlp,0,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_000.joblib,-45.4899915375354,30.04993552890217,10.95779024753697,15.12886094251646,8.853639745526273,12.42068129666024,-1.9191271058468726,-2.6652605567917047,1.6000999947342416,1.146559905499686,0.6094238209770557,0.23931211667431362,relu,0.0001,"(50,)",0.001,5000,0.0001,47
mlp,3,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_003.joblib,-54.46657610837169,30.162402257006864,10.95779024753697,15.12886094251646,8.853639745526273,12.42068129666024,-1.9191271058468726,-2.6652605567917047,1.6000999947342416,1.146559905499686,0.6094238209770557,0.23931211667431362,relu,0.0001,"(50,)",0.001,10000,0.001,48
mlp,2,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_002.joblib,-45.4899915375354,30.04993552890217,10.95779024753697,15.12886094251646,8.853639745526273,12.42068129666024,-1.9191271058468726,-2.6652605567917047,1.6000999947342416,1.146559905499686,0.6094238209770557,0.23931211667431362,relu,0.0001,"(50,)",0.001,10000,0.0001,49
mlp,1,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_001.joblib,-54.46657610837169,30.162402257006864,10.95779024753697,15.12886094251646,8.853639745526273,12.42068129666024,-1.9191271058468726,-2.6652605567917047,1.6000999947342416,1.146559905499686,0.6094238209770557,0.23931211667431362,relu,0.0001,"(50,)",0.001,5000,0.001,50
mlp,36,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_036.joblib,-58.73846197224267,46.97882968860604,9.46678490627162,15.156857808121648,7.392080154724194,11.126346800639661,0.10597190812591907,-2.5164734577356924,1.8521134990367298,1.144442046772703,0.7084823825645437,0.23649411443445167,relu,0.001,"(100,)",0.01,5000,0.0001,51
mlp,38,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_038.joblib,-58.73846197224267,46.97882968860604,9.46678490627162,15.156857808121648,7.392080154724194,11.126346800639661,0.10597190812591907,-2.5164734577356924,1.8521134990367298,1.144442046772703,0.7084823825645437,0.23649411443445167,relu,0.001,"(100,)",0.01,10000,0.0001,52
mlp,37,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_037.joblib,-58.838635527508245,46.95964889143625,9.46678490627162,15.156857808121648,7.392080154724194,11.126346800639661,0.10597190812591907,-2.5164734577356924,1.8521134990367298,1.144442046772703,0.7084823825645437,0.23649411443445167,relu,0.001,"(100,)",0.01,5000,0.001,53
mlp,39,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_039.joblib,-58.838635527508245,46.95964889143625,9.46678490627162,15.156857808121648,7.392080154724194,11.126346800639661,0.10597190812591907,-2.5164734577356924,1.8521134990367298,1.144442046772703,0.7084823825645437,0.23649411443445167,relu,0.001,"(100,)",0.01,10000,0.001,54
