algo,model_id,model_path,train_rmse,test_rmse,val_rmse,train_mae,test_mae,val_mae,train_bias,test_bias,val_bias,train_rpd,test_rpd,val_rpd,train_r2,test_r2,val_r2,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_tol
mlp,25,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_025.joblib,3.616542682607599,5.318735943389797,5.928363453994897,2.8701943282047195,4.423045777010366,4.78969459980874,0.48625489216916873,-0.7358927824596683,1.1865111753817363,4.898309947943936,3.2152540377642804,2.6460079308772952,0.9583219419318731,0.9032681674494322,0.8571705654464526,relu,0.001,"(50,)",0.001,5000,0.001
mlp,26,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_026.joblib,3.616542682607599,5.318735943389797,5.928363453994897,2.8701943282047195,4.423045777010366,4.78969459980874,0.48625489216916873,-0.7358927824596683,1.1865111753817363,4.898309947943936,3.2152540377642804,2.6460079308772952,0.9583219419318731,0.9032681674494322,0.8571705654464526,relu,0.001,"(50,)",0.001,10000,0.0001
mlp,27,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_027.joblib,3.616542682607599,5.318735943389797,5.928363453994897,2.8701943282047195,4.423045777010366,4.78969459980874,0.48625489216916873,-0.7358927824596683,1.1865111753817363,4.898309947943936,3.2152540377642804,2.6460079308772952,0.9583219419318731,0.9032681674494322,0.8571705654464526,relu,0.001,"(50,)",0.001,10000,0.001
mlp,28,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_028.joblib,8.580297031487035,9.467372401419642,10.316788457230244,7.111143940097904,8.5437797708829,9.674152610818213,-3.9732511860662627,-4.036762035209484,1.737479345517804,2.0646076626918948,1.8063182150964852,1.5204825398353645,0.7654016624291539,0.6935134100047688,0.5674491943475501,relu,0.001,"(50,)",0.01,5000,0.0001
mlp,29,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_029.joblib,8.580297031487035,9.467372401419642,10.316788457230244,7.111143940097904,8.5437797708829,9.674152610818213,-3.9732511860662627,-4.036762035209484,1.737479345517804,2.0646076626918948,1.8063182150964852,1.5204825398353645,0.7654016624291539,0.6935134100047688,0.5674491943475501,relu,0.001,"(50,)",0.01,5000,0.001
mlp,30,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_030.joblib,8.580297031487035,9.467372401419642,10.316788457230244,7.111143940097904,8.5437797708829,9.674152610818213,-3.9732511860662627,-4.036762035209484,1.737479345517804,2.0646076626918948,1.8063182150964852,1.5204825398353645,0.7654016624291539,0.6935134100047688,0.5674491943475501,relu,0.001,"(50,)",0.01,10000,0.0001
mlp,31,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_031.joblib,8.580297031487035,9.467372401419642,10.316788457230244,7.111143940097904,8.5437797708829,9.674152610818213,-3.9732511860662627,-4.036762035209484,1.737479345517804,2.0646076626918948,1.8063182150964852,1.5204825398353645,0.7654016624291539,0.6935134100047688,0.5674491943475501,relu,0.001,"(50,)",0.01,10000,0.001
mlp,32,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_032.joblib,2.03544589347028,2.7535875527339715,3.7429855690186455,0.6482861159192911,2.022311217202543,3.1808789961169737,-0.29733777832480873,-1.2659320288795008,0.013317574578477931,8.703226676872267,6.210475203814307,4.19090494129433,0.9867980096755309,0.9740731153363227,0.9430643373521419,relu,0.001,"(100,)",0.001,5000,0.0001
mlp,33,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_033.joblib,2.1902446761855088,2.7227177808423275,3.989340910452642,0.9949245627460881,1.9222990032647735,3.3065647459104386,-0.30316084174188046,-1.451915305153305,0.042572571970063776,8.088113256018815,6.280888654018151,3.932102336827809,0.9847135882968958,0.9746511762843774,0.9353229243068235,relu,0.001,"(100,)",0.001,5000,0.001
mlp,34,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_034.joblib,2.03544589347028,2.7535875527339715,3.7429855690186455,0.6482861159192911,2.022311217202543,3.1808789961169737,-0.29733777832480873,-1.2659320288795008,0.013317574578477931,8.703226676872267,6.210475203814307,4.19090494129433,0.9867980096755309,0.9740731153363227,0.9430643373521419,relu,0.001,"(100,)",0.001,10000,0.0001
