algo,model_id,model_path,cv_mean_neg_mse,cv_std_neg_mse,train_rmse,test_rmse,train_mae,test_mae,train_bias,test_bias,train_rpd,test_rpd,train_r2,test_r2,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_tol,rank_by_test_rmse
mlp,44,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_044.joblib,-95.4648502386205,36.69237136019258,5.456864116833483,8.826742903517134,3.759424164157498,5.772410482719841,0.38053154904406594,-3.3480765804329065,3.2718385629949975,1.8073720825090915,0.9065850756754922,0.6938707266460692,relu,0.001,"(50, 50)",0.01,5000,0.0001,33
mlp,45,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_045.joblib,-95.4648502386205,36.69237136019258,5.456864116833483,8.826742903517134,3.759424164157498,5.772410482719841,0.38053154904406594,-3.3480765804329065,3.2718385629949975,1.8073720825090915,0.9065850756754922,0.6938707266460692,relu,0.001,"(50, 50)",0.01,5000,0.001,34
mlp,46,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_046.joblib,-95.4648502386205,36.69237136019258,5.456864116833483,8.826742903517134,3.759424164157498,5.772410482719841,0.38053154904406594,-3.3480765804329065,3.2718385629949975,1.8073720825090915,0.9065850756754922,0.6938707266460692,relu,0.001,"(50, 50)",0.01,10000,0.0001,35
mlp,47,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_047.joblib,-95.4648502386205,36.69237136019258,5.456864116833483,8.826742903517134,3.759424164157498,5.772410482719841,0.38053154904406594,-3.3480765804329065,3.2718385629949975,1.8073720825090915,0.9065850756754922,0.6938707266460692,relu,0.001,"(50, 50)",0.01,10000,0.001,36
mlp,20,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_020.joblib,-95.57668926845234,36.72439260407047,5.453619206826839,8.828962459403735,3.7548375317836764,5.777212633678352,0.3894487099513057,-3.3420630043932595,3.2737853108867268,1.806917718435911,0.9066961405254006,0.6937167499261387,relu,0.0001,"(50, 50)",0.01,5000,0.0001,37
mlp,21,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_021.joblib,-95.57668926845234,36.72439260407047,5.453619206826839,8.828962459403735,3.7548375317836764,5.777212633678352,0.3894487099513057,-3.3420630043932595,3.2737853108867268,1.806917718435911,0.9066961405254006,0.6937167499261387,relu,0.0001,"(50, 50)",0.01,5000,0.001,38
mlp,22,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_022.joblib,-95.57668926845234,36.72439260407047,5.453619206826839,8.828962459403735,3.7548375317836764,5.777212633678352,0.3894487099513057,-3.3420630043932595,3.2737853108867268,1.806917718435911,0.9066961405254006,0.6937167499261387,relu,0.0001,"(50, 50)",0.01,10000,0.0001,39
mlp,23,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_023.joblib,-95.57668926845234,36.72439260407047,5.453619206826839,8.828962459403735,3.7548375317836764,5.777212633678352,0.3894487099513057,-3.3420630043932595,3.2737853108867268,1.806917718435911,0.9066961405254006,0.6937167499261387,relu,0.0001,"(50, 50)",0.01,10000,0.001,40
mlp,88,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_088.joblib,-611.7820073581613,239.493316023627,4.71056286537916,9.122318127521275,3.2240535964655237,6.658668665986161,-3.009978121402279,-5.390900441061541,3.790200653450431,1.7488108264030613,0.9303893649666581,0.6730251617732231,tanh,0.001,"(50, 50)",0.001,5000,0.0001,41
mlp,90,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_090.joblib,-611.7820073581613,239.493316023627,4.71056286537916,9.122318127521275,3.2240535964655237,6.658668665986161,-3.009978121402279,-5.390900441061541,3.790200653450431,1.7488108264030613,0.9303893649666581,0.6730251617732231,tanh,0.001,"(50, 50)",0.001,10000,0.0001,42
